Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,727,14,14
Aying,367,7,7
Baierbrunn,203,5,5
Brunnthal,321,4,4
Feldkirchen,480,7,7
Garching,1343,25,25
Gräfelfing,926,12,12
Grasbrunn,365,3,3
Grünwald,743,14,14
Haar,2052,14,14
Hohenbrunn,466,6,6
Höhenkirchen-Siegertsbrunn,725,15,15
Ismaning,1063,21,21
Kirchheim,704,14,14
Neubiberg,907,9,9
Neuried,504,7,7
Oberhaching,918,14,14
Oberschleißheim,873,7,7
Ottobrunn,1650,20,20
Planegg,689,14,14
Pullach,655,6,6
Putzbrunn,463,14,14
Sauerlach,542,10,10
Schäftlarn,326,3,3
Straßlach-Dingharting,200,3,3
Taufkirchen,1342,12,12
Unterföhring,670,4,4
Unterhaching,1600,9,9
Unterschleißheim,2188,28,28
