Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,471,4,4
Aying,200,1,1
Baierbrunn,127,1,1
Brunnthal,191,1,1
Feldkirchen,273,2,2
Garching,903,11,11
Gräfelfing,577,2,2
Grasbrunn,220,2,2
Grünwald,516,0,0
Haar,1532,7,7
Hohenbrunn,262,0,0
Höhenkirchen-Siegertsbrunn,438,5,5
Ismaning,706,1,1
Kirchheim,451,1,1
Neubiberg,589,3,3
Neuried,339,0,0
Oberhaching,660,1,1
Oberschleißheim,590,5,5
Ottobrunn,1092,8,8
Planegg,465,0,0
Pullach,506,1,1
Putzbrunn,299,1,1
Sauerlach,270,0,0
Schäftlarn,204,1,1
Straßlach-Dingharting,114,0,0
Taufkirchen,959,13,13
Unterföhring,521,0,0
Unterhaching,1048,5,5
Unterschleißheim,1500,12,12
