Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,532,0,0
Aying,236,0,0
Baierbrunn,138,0,0
Brunnthal,204,1,1
Feldkirchen,323,1,1
Garching,1025,1,1
Gräfelfing,651,1,1
Grasbrunn,250,3,3
Grünwald,551,0,0
Haar,1681,3,3
Hohenbrunn,301,5,5
Höhenkirchen-Siegertsbrunn,479,1,1
Ismaning,778,4,4
Kirchheim,498,1,1
Neubiberg,644,1,1
Neuried,373,1,1
Oberhaching,707,1,1
Oberschleißheim,648,3,3
Ottobrunn,1266,2,2
Planegg,506,0,0
Pullach,531,2,2
Putzbrunn,336,6,6
Sauerlach,309,4,4
Schäftlarn,216,0,0
Straßlach-Dingharting,115,0,0
Taufkirchen,1044,3,3
Unterföhring,548,1,1
Unterhaching,1127,0,0
Unterschleißheim,1675,4,4
