Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,530,2,2
Aying,234,3,3
Baierbrunn,138,1,1
Brunnthal,203,0,0
Feldkirchen,322,0,0
Garching,1019,4,4
Gräfelfing,648,8,8
Grasbrunn,246,2,2
Grünwald,550,4,4
Haar,1674,12,12
Hohenbrunn,294,5,5
Höhenkirchen-Siegertsbrunn,477,5,5
Ismaning,770,1,1
Kirchheim,497,0,0
Neubiberg,641,7,7
Neuried,370,0,0
Oberhaching,706,1,1
Oberschleißheim,642,1,1
Ottobrunn,1260,7,7
Planegg,500,1,1
Pullach,528,2,2
Putzbrunn,330,3,3
Sauerlach,303,0,0
Schäftlarn,215,0,0
Straßlach-Dingharting,115,0,0
Taufkirchen,1040,4,4
Unterföhring,548,0,0
Unterhaching,1126,9,9
Unterschleißheim,1667,4,4
