Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,792,2,2
Aying,400,3,3
Baierbrunn,221,1,1
Brunnthal,352,4,4
Feldkirchen,532,2,2
Garching,1439,8,8
Gräfelfing,1011,15,15
Grasbrunn,384,3,3
Grünwald,835,10,10
Haar,2163,9,9
Hohenbrunn,502,6,6
Höhenkirchen-Siegertsbrunn,825,13,13
Ismaning,1196,11,11
Kirchheim,782,12,12
Neubiberg,974,8,8
Neuried,552,4,4
Oberhaching,968,3,3
Oberschleißheim,920,6,6
Ottobrunn,1774,12,12
Planegg,743,1,1
Pullach,694,7,7
Putzbrunn,499,2,2
Sauerlach,594,3,3
Schäftlarn,355,3,3
Straßlach-Dingharting,211,0,0
Taufkirchen,1435,7,7
Unterföhring,703,6,6
Unterhaching,1713,10,10
Unterschleißheim,2366,23,23
