Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,838,7,7
Aying,427,3,3
Baierbrunn,242,2,2
Brunnthal,383,3,3
Feldkirchen,558,2,2
Garching,1537,10,10
Gräfelfing,1066,5,5
Grasbrunn,391,1,1
Grünwald,870,5,5
Haar,2256,6,6
Hohenbrunn,548,3,3
Höhenkirchen-Siegertsbrunn,868,3,3
Ismaning,1270,8,8
Kirchheim,840,10,10
Neubiberg,1014,4,4
Neuried,580,4,4
Oberhaching,1030,8,8
Oberschleißheim,985,16,16
Ottobrunn,1867,13,13
Planegg,784,2,2
Pullach,725,5,5
Putzbrunn,516,1,1
Sauerlach,616,2,2
Schäftlarn,415,1,1
Straßlach-Dingharting,222,0,0
Taufkirchen,1543,6,6
Unterföhring,749,4,4
Unterhaching,1805,13,13
Unterschleißheim,2501,14,14
