Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,451,0,0
Aying,196,1,1
Baierbrunn,126,1,1
Brunnthal,182,0,0
Feldkirchen,253,0,0
Garching,849,0,0
Gräfelfing,559,1,1
Grasbrunn,216,0,0
Grünwald,509,0,0
Haar,1473,0,0
Hohenbrunn,259,0,0
Höhenkirchen-Siegertsbrunn,418,1,1
Ismaning,678,1,1
Kirchheim,440,0,0
Neubiberg,559,0,0
Neuried,331,1,1
Oberhaching,640,0,0
Oberschleißheim,559,1,1
Ottobrunn,1042,0,0
Planegg,450,0,0
Pullach,490,0,0
Putzbrunn,293,0,0
Sauerlach,254,1,1
Schäftlarn,197,0,0
Straßlach-Dingharting,109,0,0
Taufkirchen,902,3,3
Unterföhring,497,0,0
Unterhaching,999,0,0
Unterschleißheim,1443,0,0
