Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,538,6,6
Aying,239,3,3
Baierbrunn,138,0,0
Brunnthal,205,1,1
Feldkirchen,323,0,0
Garching,1028,3,3
Gräfelfing,651,0,0
Grasbrunn,250,1,1
Grünwald,553,2,2
Haar,1682,1,1
Hohenbrunn,302,1,1
Höhenkirchen-Siegertsbrunn,479,0,0
Ismaning,778,0,0
Kirchheim,500,2,2
Neubiberg,651,7,7
Neuried,374,1,1
Oberhaching,706,0,0
Oberschleißheim,651,3,3
Ottobrunn,1267,1,1
Planegg,507,1,1
Pullach,532,1,1
Putzbrunn,335,0,0
Sauerlach,310,1,1
Schäftlarn,217,1,1
Straßlach-Dingharting,115,0,0
Taufkirchen,1043,0,0
Unterföhring,550,2,2
Unterhaching,1130,3,3
Unterschleißheim,1675,0,0
