Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,444,0
Aying,193,0
Baierbrunn,124,0
Brunnthal,175,2
Feldkirchen,250,0
Garching,839,1
Gräfelfing,546,4
Grasbrunn,209,0
Grünwald,501,0
Haar,1449,3
Hohenbrunn,252,0
Höhenkirchen-Siegertsbrunn,407,1
Ismaning,666,0
Kirchheim,428,1
Neubiberg,551,0
Neuried,318,0
Oberhaching,621,0
Oberschleißheim,544,1
Ottobrunn,1025,2
Planegg,444,0
Pullach,478,1
Putzbrunn,292,0
Sauerlach,248,1
Schäftlarn,193,1
Straßlach-Dingharting,104,0
Taufkirchen,885,0
Unterföhring,490,1
Unterhaching,985,1
Unterschleißheim,1396,0
