Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,831,6,6
Aying,424,5,5
Baierbrunn,240,4,4
Brunnthal,380,6,6
Feldkirchen,556,6,6
Garching,1528,18,18
Gräfelfing,1063,11,11
Grasbrunn,390,1,1
Grünwald,866,6,6
Haar,2250,15,15
Hohenbrunn,545,9,9
Höhenkirchen-Siegertsbrunn,865,11,11
Ismaning,1262,14,14
Kirchheim,830,9,9
Neubiberg,1011,8,8
Neuried,578,2,2
Oberhaching,1022,8,8
Oberschleißheim,969,11,11
Ottobrunn,1855,15,15
Planegg,783,16,16
Pullach,720,3,3
Putzbrunn,515,1,1
Sauerlach,614,2,2
Schäftlarn,414,4,4
Straßlach-Dingharting,222,4,4
Taufkirchen,1535,17,17
Unterföhring,746,11,11
Unterhaching,1793,11,11
Unterschleißheim,2487,22,22
