Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,792,10,10
Aying,398,8,8
Baierbrunn,220,3,3
Brunnthal,348,4,4
Feldkirchen,531,6,6
Garching,1431,14,14
Gräfelfing,998,3,3
Grasbrunn,381,0,0
Grünwald,826,11,11
Haar,2155,10,10
Hohenbrunn,496,7,7
Höhenkirchen-Siegertsbrunn,812,8,8
Ismaning,1185,14,14
Kirchheim,772,9,9
Neubiberg,966,11,11
Neuried,548,8,8
Oberhaching,965,7,7
Oberschleißheim,915,5,5
Ottobrunn,1764,18,18
Planegg,744,6,6
Pullach,687,2,2
Putzbrunn,500,4,4
Sauerlach,591,2,2
Schäftlarn,352,5,5
Straßlach-Dingharting,211,1,1
Taufkirchen,1429,8,8
Unterföhring,699,3,3
Unterhaching,1705,20,20
Unterschleißheim,2344,29,29
