Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,691,17,17
Aying,346,4,4
Baierbrunn,187,7,7
Brunnthal,303,6,6
Feldkirchen,458,9,9
Garching,1279,11,11
Gräfelfing,882,22,22
Grasbrunn,349,6,6
Grünwald,697,15,15
Haar,1984,20,20
Hohenbrunn,436,7,7
Höhenkirchen-Siegertsbrunn,661,14,14
Ismaning,1003,19,19
Kirchheim,667,12,12
Neubiberg,854,20,20
Neuried,484,4,4
Oberhaching,865,11,11
Oberschleißheim,841,6,6
Ottobrunn,1594,20,20
Planegg,659,7,7
Pullach,625,2,2
Putzbrunn,425,7,7
Sauerlach,504,12,12
Schäftlarn,312,2,2
Straßlach-Dingharting,191,11,11
Taufkirchen,1291,15,15
Unterföhring,650,5,5
Unterhaching,1523,22,22
Unterschleißheim,2077,24,24
