Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,861,5,5
Aying,449,5,5
Baierbrunn,251,2,2
Brunnthal,404,9,9
Feldkirchen,578,4,4
Garching,1595,11,11
Gräfelfing,1101,5,5
Grasbrunn,412,8,8
Grünwald,914,11,11
Haar,2323,22,22
Hohenbrunn,561,2,2
Höhenkirchen-Siegertsbrunn,902,7,7
Ismaning,1331,13,13
Kirchheim,865,3,3
Neubiberg,1054,14,14
Neuried,606,2,2
Oberhaching,1077,13,13
Oberschleißheim,1032,10,10
Ottobrunn,1929,24,24
Planegg,814,9,9
Pullach,745,6,6
Putzbrunn,527,2,2
Sauerlach,638,7,7
Schäftlarn,447,8,8
Straßlach-Dingharting,233,1,1
Taufkirchen,1597,9,9
Unterföhring,781,6,6
Unterhaching,1877,15,15
Unterschleißheim,2594,17,17
