Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,558,5,5
Aying,255,4,4
Baierbrunn,140,0,0
Brunnthal,215,4,4
Feldkirchen,337,1,1
Garching,1057,4,4
Gräfelfing,667,3,3
Grasbrunn,253,0,0
Grünwald,568,4,4
Haar,1717,5,5
Hohenbrunn,313,3,3
Höhenkirchen-Siegertsbrunn,497,4,4
Ismaning,800,1,1
Kirchheim,506,0,0
Neubiberg,677,2,2
Neuried,389,2,2
Oberhaching,718,3,3
Oberschleißheim,679,3,3
Ottobrunn,1295,7,7
Planegg,524,2,2
Pullach,543,1,1
Putzbrunn,339,0,0
Sauerlach,319,1,1
Schäftlarn,219,1,1
Straßlach-Dingharting,123,3,3
Taufkirchen,1066,5,5
Unterföhring,561,2,2
Unterhaching,1150,8,8
Unterschleißheim,1709,1,1
