Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,466,2,2
Aying,198,0,0
Baierbrunn,126,0,0
Brunnthal,190,0,0
Feldkirchen,264,0,0
Garching,888,4,4
Gräfelfing,570,0,0
Grasbrunn,218,0,0
Grünwald,514,0,0
Haar,1512,9,9
Hohenbrunn,261,0,0
Höhenkirchen-Siegertsbrunn,432,0,0
Ismaning,704,1,1
Kirchheim,446,1,1
Neubiberg,584,6,6
Neuried,337,1,1
Oberhaching,654,1,1
Oberschleißheim,582,0,0
Ottobrunn,1072,2,2
Planegg,459,0,0
Pullach,504,1,1
Putzbrunn,299,0,0
Sauerlach,266,2,2
Schäftlarn,201,0,0
Straßlach-Dingharting,113,1,1
Taufkirchen,940,10,10
Unterföhring,516,0,0
Unterhaching,1031,1,1
Unterschleißheim,1479,3,3
