Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,480,2,2
Aying,202,0,0
Baierbrunn,129,0,0
Brunnthal,196,1,1
Feldkirchen,285,2,2
Garching,942,4,4
Gräfelfing,591,2,2
Grasbrunn,223,1,1
Grünwald,526,2,2
Haar,1569,3,3
Hohenbrunn,266,1,1
Höhenkirchen-Siegertsbrunn,442,1,1
Ismaning,727,7,7
Kirchheim,460,1,1
Neubiberg,595,1,1
Neuried,346,2,2
Oberhaching,676,0,0
Oberschleißheim,606,1,1
Ottobrunn,1120,1,1
Planegg,478,2,2
Pullach,509,0,0
Putzbrunn,302,0,0
Sauerlach,274,1,1
Schäftlarn,208,1,1
Straßlach-Dingharting,114,0,0
Taufkirchen,984,1,1
Unterföhring,527,0,0
Unterhaching,1065,2,2
Unterschleißheim,1570,6,6
