Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,487,1,1
Aying,207,0,0
Baierbrunn,129,0,0
Brunnthal,196,0,0
Feldkirchen,295,3,3
Garching,976,3,3
Gräfelfing,598,0,0
Grasbrunn,232,0,0
Grünwald,535,0,0
Haar,1600,3,3
Hohenbrunn,269,2,2
Höhenkirchen-Siegertsbrunn,448,0,0
Ismaning,740,4,4
Kirchheim,467,2,2
Neubiberg,605,2,2
Neuried,350,2,2
Oberhaching,686,0,0
Oberschleißheim,623,0,0
Ottobrunn,1154,6,6
Planegg,488,1,1
Pullach,516,2,2
Putzbrunn,306,2,2
Sauerlach,282,0,0
Schäftlarn,210,1,1
Straßlach-Dingharting,115,0,0
Taufkirchen,1010,1,1
Unterföhring,539,1,1
Unterhaching,1083,0,0
Unterschleißheim,1610,6,6
