Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,447,0
Aying,194,0
Baierbrunn,124,0
Brunnthal,182,0
Feldkirchen,250,0
Garching,842,0
Gräfelfing,549,1
Grasbrunn,210,0
Grünwald,502,0
Haar,1453,0
Hohenbrunn,256,0
Höhenkirchen-Siegertsbrunn,413,0
Ismaning,669,0
Kirchheim,436,0
Neubiberg,556,0
Neuried,327,0
Oberhaching,629,1
Oberschleißheim,553,0
Ottobrunn,1039,0
Planegg,446,0
Pullach,487,2
Putzbrunn,293,0
Sauerlach,250,0
Schäftlarn,193,0
Straßlach-Dingharting,105,0
Taufkirchen,892,0
Unterföhring,494,0
Unterhaching,991,0
Unterschleißheim,1413,3
