Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,995,2,2
Aying,538,16,16
Baierbrunn,298,5,5
Brunnthal,481,3,3
Feldkirchen,677,2,2
Garching,1854,12,12
Gräfelfing,1310,15,15
Grasbrunn,500,6,6
Grünwald,1137,19,19
Haar,2519,9,9
Hohenbrunn,687,6,6
Höhenkirchen-Siegertsbrunn,1025,13,13
Ismaning,1574,12,12
Kirchheim,992,5,5
Neubiberg,1259,15,15
Neuried,747,20,20
Oberhaching,1224,13,13
Oberschleißheim,1166,9,9
Ottobrunn,2207,15,15
Planegg,935,7,7
Pullach,872,10,10
Putzbrunn,592,1,1
Sauerlach,739,5,5
Schäftlarn,524,3,3
Straßlach-Dingharting,268,1,1
Taufkirchen,1793,22,22
Unterföhring,932,4,4
Unterhaching,2189,22,22
Unterschleißheim,2955,24,24
