Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,528,5,5
Aying,231,3,3
Baierbrunn,137,0,0
Brunnthal,203,1,1
Feldkirchen,322,1,1
Garching,1015,3,3
Gräfelfing,640,1,1
Grasbrunn,244,1,1
Grünwald,546,1,1
Haar,1662,6,6
Hohenbrunn,289,0,0
Höhenkirchen-Siegertsbrunn,472,0,0
Ismaning,769,0,0
Kirchheim,497,1,1
Neubiberg,634,4,4
Neuried,370,1,1
Oberhaching,705,2,2
Oberschleißheim,641,2,2
Ottobrunn,1253,5,5
Planegg,499,0,0
Pullach,526,1,1
Putzbrunn,327,0,0
Sauerlach,303,3,3
Schäftlarn,215,1,1
Straßlach-Dingharting,115,0,0
Taufkirchen,1036,0,0
Unterföhring,548,0,0
Unterhaching,1117,0,0
Unterschleißheim,1663,3,3
