Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,553,4,4
Aying,246,1,1
Baierbrunn,140,0,0
Brunnthal,210,1,1
Feldkirchen,333,4,4
Garching,1047,5,5
Gräfelfing,660,2,2
Grasbrunn,251,0,0
Grünwald,561,4,4
Haar,1700,3,3
Hohenbrunn,306,0,0
Höhenkirchen-Siegertsbrunn,485,4,4
Ismaning,790,1,1
Kirchheim,504,3,3
Neubiberg,670,3,3
Neuried,382,1,1
Oberhaching,713,1,1
Oberschleißheim,666,5,5
Ottobrunn,1277,3,3
Planegg,516,3,3
Pullach,539,1,1
Putzbrunn,338,1,1
Sauerlach,315,2,2
Schäftlarn,218,0,0
Straßlach-Dingharting,118,0,0
Taufkirchen,1055,1,1
Unterföhring,554,1,1
Unterhaching,1135,4,4
Unterschleißheim,1693,5,5
