Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,553,0,0
Aying,249,3,3
Baierbrunn,140,0,0
Brunnthal,210,0,0
Feldkirchen,333,0,0
Garching,1048,1,1
Gräfelfing,661,1,1
Grasbrunn,251,0,0
Grünwald,562,1,1
Haar,1703,4,4
Hohenbrunn,307,1,1
Höhenkirchen-Siegertsbrunn,487,2,2
Ismaning,791,2,2
Kirchheim,506,2,2
Neubiberg,671,1,1
Neuried,384,2,2
Oberhaching,715,2,2
Oberschleißheim,671,5,5
Ottobrunn,1282,5,5
Planegg,517,1,1
Pullach,541,2,2
Putzbrunn,339,1,1
Sauerlach,316,1,1
Schäftlarn,218,0,0
Straßlach-Dingharting,119,1,1
Taufkirchen,1057,2,2
Unterföhring,557,3,3
Unterhaching,1135,1,1
Unterschleißheim,1694,1,1
