Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,567,1,1
Aying,278,4,4
Baierbrunn,148,2,2
Brunnthal,219,1,1
Feldkirchen,353,5,5
Garching,1099,5,5
Gräfelfing,701,5,5
Grasbrunn,273,6,6
Grünwald,590,2,2
Haar,1756,3,3
Hohenbrunn,336,1,1
Höhenkirchen-Siegertsbrunn,515,5,5
Ismaning,829,7,7
Kirchheim,528,3,3
Neubiberg,714,8,8
Neuried,401,3,3
Oberhaching,738,0,0
Oberschleißheim,713,8,8
Ottobrunn,1343,7,7
Planegg,544,4,4
Pullach,555,5,5
Putzbrunn,347,2,2
Sauerlach,335,7,7
Schäftlarn,247,2,2
Straßlach-Dingharting,135,0,0
Taufkirchen,1118,7,7
Unterföhring,571,0,0
Unterhaching,1213,9,9
Unterschleißheim,1763,6,6
