Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,474,0,0
Aying,201,1,1
Baierbrunn,127,0,0
Brunnthal,193,0,0
Feldkirchen,279,2,2
Garching,931,6,6
Gräfelfing,582,1,1
Grasbrunn,221,1,1
Grünwald,522,4,4
Haar,1553,7,7
Hohenbrunn,262,0,0
Höhenkirchen-Siegertsbrunn,440,0,0
Ismaning,713,2,2
Kirchheim,457,4,4
Neubiberg,590,0,0
Neuried,341,0,0
Oberhaching,669,3,3
Oberschleißheim,601,3,3
Ottobrunn,1107,4,4
Planegg,471,6,6
Pullach,508,0,0
Putzbrunn,299,0,0
Sauerlach,270,0,0
Schäftlarn,206,0,0
Straßlach-Dingharting,114,0,0
Taufkirchen,970,2,2
Unterföhring,525,0,0
Unterhaching,1056,2,2
Unterschleißheim,1534,11,11
