Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,871,10,10
Aying,451,2,2
Baierbrunn,252,1,1
Brunnthal,405,1,1
Feldkirchen,580,2,2
Garching,1601,6,6
Gräfelfing,1109,8,8
Grasbrunn,413,1,1
Grünwald,920,6,6
Haar,2331,8,8
Hohenbrunn,568,7,7
Höhenkirchen-Siegertsbrunn,904,2,2
Ismaning,1335,5,5
Kirchheim,873,8,8
Neubiberg,1062,8,8
Neuried,610,4,4
Oberhaching,1082,5,5
Oberschleißheim,1034,2,2
Ottobrunn,1937,10,10
Planegg,816,3,3
Pullach,752,7,7
Putzbrunn,528,1,1
Sauerlach,643,5,5
Schäftlarn,450,3,3
Straßlach-Dingharting,233,0,0
Taufkirchen,1602,5,5
Unterföhring,783,2,2
Unterhaching,1881,5,5
Unterschleißheim,2598,4,4
