Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,908,7,7
Aying,478,12,12
Baierbrunn,272,8,8
Brunnthal,440,10,10
Feldkirchen,622,14,14
Garching,1687,37,37
Gräfelfing,1186,26,26
Grasbrunn,440,11,11
Grünwald,1003,21,21
Haar,2404,24,24
Hohenbrunn,605,16,16
Höhenkirchen-Siegertsbrunn,957,16,16
Ismaning,1417,18,18
Kirchheim,927,25,25
Neubiberg,1131,16,16
Neuried,652,12,12
Oberhaching,1134,14,14
Oberschleißheim,1086,10,10
Ottobrunn,2030,27,27
Planegg,867,19,19
Pullach,794,16,16
Putzbrunn,550,10,10
Sauerlach,670,11,11
Schäftlarn,483,9,9
Straßlach-Dingharting,250,6,6
Taufkirchen,1662,14,14
Unterföhring,849,27,27
Unterhaching,1991,33,33
Unterschleißheim,2723,41,41
