Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,474,1,1
Aying,200,0,0
Baierbrunn,127,0,0
Brunnthal,193,2,2
Feldkirchen,275,2,2
Garching,921,5,5
Gräfelfing,579,1,1
Grasbrunn,220,0,0
Grünwald,517,0,0
Haar,1539,4,4
Hohenbrunn,263,0,0
Höhenkirchen-Siegertsbrunn,440,0,0
Ismaning,707,0,0
Kirchheim,453,2,2
Neubiberg,589,0,0
Neuried,340,0,0
Oberhaching,662,1,1
Oberschleißheim,595,3,3
Ottobrunn,1102,5,5
Planegg,466,1,1
Pullach,506,0,0
Putzbrunn,299,0,0
Sauerlach,270,0,0
Schäftlarn,206,1,1
Straßlach-Dingharting,114,0,0
Taufkirchen,966,5,5
Unterföhring,524,2,2
Unterhaching,1053,3,3
Unterschleißheim,1513,7,7
