Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,521,7,7
Aying,223,1,1
Baierbrunn,135,0,0
Brunnthal,202,0,0
Feldkirchen,319,3,3
Garching,1005,5,5
Gräfelfing,628,7,7
Grasbrunn,238,0,0
Grünwald,544,0,0
Haar,1646,5,5
Hohenbrunn,288,3,3
Höhenkirchen-Siegertsbrunn,463,2,2
Ismaning,766,2,2
Kirchheim,488,3,3
Neubiberg,621,0,0
Neuried,363,2,2
Oberhaching,702,1,1
Oberschleißheim,636,5,5
Ottobrunn,1237,10,10
Planegg,495,1,1
Pullach,523,0,0
Putzbrunn,319,1,1
Sauerlach,296,2,2
Schäftlarn,214,1,1
Straßlach-Dingharting,115,0,0
Taufkirchen,1034,1,1
Unterföhring,548,1,1
Unterhaching,1110,4,4
Unterschleißheim,1653,8,8
