Kommune,05_10_2021,05_11_2021,05_12_2021,05_13_2021,05_14_2021,05_15_2021,05_16_2021,05_17_2021,05_18_2021,05_19_2021,05_20_2021,05_21_2021,05_22_2021,05_23_2021,05_24_2021,05_25_2021,05_26_2021,05_27_2021,05_28_2021,05_29_2021,05_30_2021,05_31_2021,06_01_2021,06_02_2021,06_03_2021,06_04_2021,06_05_2021,06_06_2021,06_07_2021,06_08_2021,06_09_2021,06_10_2021,06_11_2021,06_12_2021,06_13_2021,06_14_2021,06_15_2021,06_16_2021,06_17_2021,06_18_2021,06_19_2021,06_21_2021,06_22_2021,06_23_2021,06_24_2021,06_25_2021,06_28_2021,06_29_2021,06_30_2021,07_01_2021,07_02_2021,07_05_2021,07_06_2021,07_07_2021,07_08_2021,07_09_2021,07_12_2021,07_13_2021,07_14_2021,07_15_2021,07_16_2021,07_19_2021,07_20_2021,07_21_2021,07_22_2021,07_23_2021,07_26_2021,07_27_2021,07_28_2021,07_29_2021,07_30_2021,08_02_2021,08_03_2021,08_04_2021,08_05_2021,08_06_2021,08_09_2021,08_10_2021,08_11_2021,08_12_2021,08_13_2021,08_16_2021,08_17_2021,08_18_2021,08_19_2021,08_20_2021,08_23_2021,08_24_2021,08_25_2021,08_26_2021,08_27_2021,08_30_2021,08_31_2021,09_01_2021,09_02_2021,09_03_2021,09_06_2021,09_07_2021,09_08_2021,09_09_2021,09_10_2021,09_13_2021,09_14_2021,09_15_2021,09_16_2021,09_17_2021,09_20_2021,09_21_2021,09_22_2021,09_23_2021,09_24_2021,09_27_2021,09_28_2021,09_29_2021,09_30_2021,10_01_2021,10_04_2021,10_05_2021,10_06_2021,10_07_2021,10_08_2021,10_11_2021,10_12_2021,10_13_2021,10_14_2021,10_15_2021,10_18_2021,10_19_2021,10_20_2021,10_21_2021,10_22_2021,10_25_2021,10_26_2021,10_27_2021,10_28_2021,10_29_2021,11_01_2021,11_02_2021,11_03_2021,11_04_2021,11_05_2021,11_08_2021,11_09_2021,11_10_2021,11_11_2021,11_12_2021,11_15_2021,11_16_2021,11_17_2021,11_18_2021,11_19_2021,11_22_2021,11_23_2021,11_24_2021,11_25_2021,11_26_2021,11_29_2021,11_30_2021,12_01_2021,12_02_2021,12_03_2021,12_06_2021,12_07_2021,12_08_2021,12_09_2021,12_10_2021,12_13_2021,12_14_2021,12_15_2021,12_16_2021,12_17_2021,12_20_2021,12_21_2021,12_22_2021,12_23_2021,12_24_2021,12_27_2021,12_28_2021,12_29_2021,12_30_2021,12_31_2021,01_03_2022,01_04_2022,01_05_2022,01_06_2022,01_07_2022,01_10_2022,01_11_2022,01_12_2022,01_13_2022,01_14_2022,01_17_2022,01_18_2022,01_19_2022,01_20_2022,01_21_2022,01_24_2022,01_25_2022,01_26_2022,01_27_2022,01_28_2022,02_01_2022,02_02_2022,02_03_2022,02_04_2022,02_08_2022,02_09_2022
Neubiberg,0,1,0,0,0,-1,0,1,2,1,1,0,1,1,1,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,2,0,0,2,0,1,1,0,3,1,0,0,0,2,1,1,0,0,2,6,0,1,1,3,0,0,0,0,4,0,1,0,0,5,1,5,2,0,4,2,1,3,1,7,0,5,4,4,7,2,1,7,2,7,2,6,3,1,4,2,3,5,7,7,6,1,8,2,2,15,10,5,10,17,3,16,5,6,13,7,10,5,20,33,12,9,12,7,17,11,6,11,8,14,8,6,4,5,8,4,3,6,2,12,3,3,3,3,14,8,7,7,7,21,9,10,10,16,39,29,27,18,15,41,26,46,24,35,36,42,31,36,44,98,73,64,27,31,52
Neuried,0,3,2,0,0,1,0,0,3,0,1,0,2,0,0,0,0,1,2,0,3,0,1,0,0,1,1,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,3,2,0,0,0,2,0,2,3,0,4,0,1,1,4,2,1,5,1,0,2,1,1,0,4,1,2,1,2,3,2,3,2,0,4,1,1,3,4,4,6,2,6,4,5,10,3,4,13,9,1,9,4,4,9,4,7,7,8,10,3,8,8,4,8,9,8,5,4,2,4,6,4,2,3,3,7,1,1,2,4,1,5,5,4,8,14,14,12,19,18,26,12,20,41,17,51,36,34,33,19,33,15,19,35,36,44,19,22,23
Oberhaching,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,3,0,0,0,2,0,1,0,0,4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,2,1,0,1,1,3,1,1,1,1,4,3,6,3,0,2,3,4,1,1,0,1,2,1,3,3,2,4,1,1,0,2,1,0,1,0,2,0,2,3,1,2,0,3,3,3,4,4,4,3,0,2,2,5,3,6,4,15,9,13,5,6,19,7,13,9,11,35,5,14,6,6,9,7,12,7,3,19,11,8,6,3,8,8,5,4,4,8,6,4,4,4,13,5,7,9,9,12,4,6,6,14,19,26,19,14,13,46,42,50,37,25,54,38,60,24,28,67,45,47,29,38,62
Oberschleißheim,0,4,0,0,0,3,0,0,1,2,2,1,1,0,0,1,0,0,0,1,1,0,1,2,2,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,4,1,1,0,2,1,0,0,0,4,2,1,1,0,6,0,1,0,3,5,2,3,4,3,4,0,1,1,2,9,4,2,0,1,1,4,0,1,1,1,5,1,2,2,1,3,3,3,3,1,5,1,5,5,5,3,5,5,4,3,7,2,8,5,5,13,4,2,7,14,12,2,5,11,26,7,10,6,6,15,10,7,13,8,10,5,3,5,6,17,6,10,3,4,11,16,3,7,3,11,7,8,2,2,10,2,4,6,6,16,13,3,3,10,23,27,10,12,9,19,34,32,34,27,61,34,35,17,30,64,21,66,28,30,27
Ottobrunn,0,4,4,0,0,13,0,7,5,3,2,6,0,1,1,0,3,1,2,2,0,0,3,6,2,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,1,6,4,2,0,1,7,2,4,6,2,8,6,5,1,4,5,7,1,1,5,11,6,4,6,3,22,13,11,5,1,23,10,3,8,5,7,4,2,1,1,4,1,1,3,5,6,7,8,2,4,10,6,11,7,8,8,27,16,11,5,31,12,12,10,13,32,13,23,21,20,24,14,20,16,13,33,27,13,18,12,25,12,11,13,7,15,13,3,3,9,6,4,6,8,8,24,10,7,16,16,28,4,13,13,27,53,36,46,27,15,37,51,83,76,43,84,85,86,41,45,158,140,112,58,46,65
Planegg,0,2,0,0,0,1,0,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,4,0,2,0,0,1,0,6,4,1,2,0,3,2,1,3,1,0,2,0,2,1,3,0,1,4,1,0,1,6,0,1,2,1,3,0,3,1,5,2,3,1,0,2,6,5,4,6,6,9,4,5,6,10,10,9,6,4,15,6,12,9,7,12,5,14,16,8,14,7,13,6,1,10,3,5,7,3,16,2,3,11,0,3,2,3,3,3,9,3,0,5,5,18,5,5,5,19,27,12,15,10,7,14,20,33,30,23,38,19,52,9,19,53,36,54,31,32,36
Pullach,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,2,1,2,0,1,2,1,0,1,0,1,0,0,2,0,1,0,0,0,0,2,0,3,2,3,1,2,0,1,0,0,0,2,0,1,2,1,2,1,0,0,2,4,1,2,1,1,1,1,1,0,1,3,5,2,2,6,6,2,9,12,8,8,6,3,6,0,6,0,2,20,4,6,5,1,9,11,6,2,7,8,10,1,4,1,3,5,2,2,1,3,4,1,3,3,6,7,2,3,3,10,6,6,6,16,22,26,9,11,10,19,26,25,18,22,41,16,28,12,19,54,21,32,13,15,38
Putzbrunn,3,4,0,0,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,1,0,0,2,2,6,2,1,0,0,2,1,4,4,0,3,0,6,0,0,2,0,0,1,1,0,0,0,2,0,4,1,0,2,1,1,6,1,0,4,9,10,8,7,3,10,3,8,6,7,18,9,14,9,12,5,2,9,4,2,10,6,0,1,2,1,1,4,1,1,1,0,0,2,2,2,1,1,1,1,4,3,2,2,10,7,10,16,9,1,16,18,22,12,9,32,20,29,15,12,49,38,31,21,36,18
Sauerlach,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,3,1,2,0,0,0,2,0,4,0,0,0,0,0,0,1,2,1,0,0,3,1,5,0,0,5,1,2,2,2,1,2,2,2,3,0,2,4,1,0,1,0,2,2,1,2,1,0,1,2,3,1,3,7,5,5,11,11,9,15,13,15,9,8,10,22,12,16,6,12,20,9,10,8,9,13,10,10,2,3,8,5,2,3,2,2,2,0,4,2,2,3,1,4,4,7,5,0,3,3,5,4,4,4,11,19,14,31,2,5,11,29,24,20,40,46,29,49,6,15,46,30,28,23,19,32
Schäftlarn,0,1,3,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,2,0,0,0,1,0,2,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,4,0,3,6,3,10,2,1,1,6,2,3,4,8,0,8,3,7,6,5,5,6,2,6,6,3,8,4,3,4,2,5,3,15,10,16,6,7,4,1,7,4,6,1,0,3,6,6,8,3,4,2,2,8,4,6,6,9,7,12,10,9,3,22,10,36,26,21,18,10,31,12,10,21,17,23,9,12,18
Straßlach-Dingharting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,3,0,5,1,6,0,1,0,1,1,2,5,1,5,5,7,5,1,5,1,3,3,2,11,3,3,3,3,2,4,1,2,1,0,4,0,2,0,1,4,0,1,1,0,1,2,0,5,5,1,0,1,0,0,2,1,7,7,6,8,3,0,6,1,1,5,9,2,13,8,4,10,5,5,17,6,14,5,19,17
Taufkirchen,2,0,2,0,0,3,0,2,2,3,3,0,1,0,1,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,3,0,1,0,0,0,2,0,0,0,0,1,3,1,1,1,9,3,1,1,1,5,10,4,1,1,13,2,5,2,2,9,7,1,1,8,9,4,3,1,5,7,7,0,1,4,0,1,1,1,0,4,1,3,0,2,2,1,6,1,2,4,5,7,5,8,16,3,6,7,6,6,12,9,10,9,15,4,17,13,5,22,6,13,16,15,24,15,12,18,10,30,11,9,8,7,53,15,12,3,2,17,6,5,5,8,13,5,3,6,6,9,5,4,7,7,19,6,10,10,14,26,35,26,22,22,41,41,92,54,41,94,51,100,29,48,149,93,109,51,49,75
Unterföhring,0,0,1,0,0,4,0,0,0,1,5,1,1,0,0,0,0,1,2,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,3,3,3,1,1,0,2,5,0,3,1,1,0,1,2,1,0,2,0,0,0,3,4,2,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,1,2,0,2,0,1,1,3,2,2,2,1,2,1,1,4,0,2,2,7,2,2,2,4,6,7,5,3,13,4,7,10,5,14,2,4,4,8,9,3,5,3,6,13,7,2,5,4,11,4,2,7,4,5,1,4,5,5,6,2,2,2,2,17,9,9,9,27,35,18,13,14,4,34,28,57,24,27,47,57,34,31,36,83,57,45,33,44,29
Unterhaching,2,0,5,0,0,9,0,1,0,2,0,0,0,3,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,4,0,2,2,0,1,2,0,1,0,1,1,1,0,0,1,1,2,3,0,8,1,3,4,5,5,2,3,2,2,4,4,2,3,2,7,4,2,0,3,7,4,1,3,2,3,4,5,2,0,9,1,0,3,0,0,0,1,4,1,8,8,4,8,9,12,9,12,9,11,11,27,9,6,15,24,13,30,24,21,39,28,31,16,22,42,28,9,11,12,21,27,12,20,10,37,12,10,6,6,11,13,9,12,2,14,6,5,14,14,15,5,7,13,13,30,14,14,14,33,41,54,52,30,22,60,56,141,93,77,124,76,99,48,84,170,101,110,46,79,74
Unterschleißheim,1,3,2,0,0,10,0,4,6,0,2,2,5,1,0,1,3,0,0,0,2,0,1,0,0,1,0,0,0,3,1,2,0,0,0,1,3,3,1,1,1,4,1,0,0,1,2,4,0,0,0,0,1,1,1,3,1,0,0,2,2,2,4,1,2,0,3,1,0,1,3,1,0,1,0,0,0,1,1,3,3,3,3,2,0,3,8,3,3,2,5,12,7,7,10,11,25,7,6,4,12,8,5,6,6,4,9,3,2,4,7,9,8,2,5,3,4,4,4,0,0,4,4,5,5,1,14,1,3,4,6,20,7,8,6,8,8,25,19,8,16,34,30,10,4,34,49,16,22,20,24,57,27,28,31,22,26,22,32,29,23,38,27,14,17,13,22,14,10,19,10,23,6,0,10,10,17,4,1,21,21,28,19,16,16,41,64,64,42,39,24,76,130,115,88,63,128,77,65,71,87,251,56,162,71,87,84
