Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,969,23,23
Aying,503,16,16
Baierbrunn,287,6,6
Brunnthal,454,9,9
Feldkirchen,649,8,8
Garching,1765,36,36
Gräfelfing,1252,35,35
Grasbrunn,473,12,12
Grünwald,1058,19,19
Haar,2468,26,26
Hohenbrunn,640,12,12
Höhenkirchen-Siegertsbrunn,980,12,12
Ismaning,1490,33,33
Kirchheim,965,21,21
Neubiberg,1199,29,29
Neuried,688,18,18
Oberhaching,1179,26,26
Oberschleißheim,1135,27,27
Ottobrunn,2119,36,36
Planegg,905,12,12
Pullach,842,26,26
Putzbrunn,567,10,10
Sauerlach,701,14,14
Schäftlarn,502,12,12
Straßlach-Dingharting,261,3,3
Taufkirchen,1723,35,35
Unterföhring,901,18,18
Unterhaching,2085,54,54
Unterschleißheim,2851,64,64
