Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,453,0,0
Aying,196,0,0
Baierbrunn,126,0,0
Brunnthal,184,0,0
Feldkirchen,254,0,0
Garching,857,0,0
Gräfelfing,564,1,1
Grasbrunn,216,0,0
Grünwald,510,0,0
Haar,1475,0,0
Hohenbrunn,257,0,0
Höhenkirchen-Siegertsbrunn,421,0,0
Ismaning,691,1,1
Kirchheim,440,0,0
Neubiberg,568,1,1
Neuried,333,0,0
Oberhaching,646,1,1
Oberschleißheim,564,1,1
Ottobrunn,1046,0,0
Planegg,453,0,0
Pullach,492,1,1
Putzbrunn,293,0,0
Sauerlach,256,1,1
Schäftlarn,200,0,0
Straßlach-Dingharting,110,0,0
Taufkirchen,905,0,0
Unterföhring,500,0,0
Unterhaching,1011,0,0
Unterschleißheim,1452,1,1
