Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,880,8,8
Aying,454,1,1
Baierbrunn,252,0,0
Brunnthal,414,4,4
Feldkirchen,585,0,0
Garching,1615,10,10
Gräfelfing,1120,3,3
Grasbrunn,415,2,2
Grünwald,939,6,6
Haar,2335,2,2
Hohenbrunn,574,5,5
Höhenkirchen-Siegertsbrunn,911,2,2
Ismaning,1351,10,10
Kirchheim,884,4,4
Neubiberg,1075,7,7
Neuried,616,5,5
Oberhaching,1098,9,9
Oberschleißheim,1044,6,6
Ottobrunn,1958,16,16
Planegg,821,5,5
Pullach,757,3,3
Putzbrunn,530,1,1
Sauerlach,646,3,3
Schäftlarn,457,2,2
Straßlach-Dingharting,234,0,0
Taufkirchen,1613,7,7
Unterföhring,787,2,2
Unterhaching,1901,13,13
Unterschleißheim,2620,21,21
