Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,467,0,0
Aying,199,0,0
Baierbrunn,126,0,0
Brunnthal,190,0,0
Feldkirchen,271,1,1
Garching,892,0,0
Gräfelfing,575,0,0
Grasbrunn,218,0,0
Grünwald,516,0,0
Haar,1525,3,3
Hohenbrunn,262,0,0
Höhenkirchen-Siegertsbrunn,433,1,1
Ismaning,705,0,0
Kirchheim,450,0,0
Neubiberg,586,1,1
Neuried,339,0,0
Oberhaching,659,1,1
Oberschleißheim,585,3,3
Ottobrunn,1084,2,2
Planegg,465,2,2
Pullach,505,0,0
Putzbrunn,298,0,0
Sauerlach,270,0,0
Schäftlarn,203,1,1
Straßlach-Dingharting,114,0,0
Taufkirchen,946,1,1
Unterföhring,521,1,1
Unterhaching,1043,5,5
Unterschleißheim,1489,5,5
