Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,456,0,0
Aying,196,0,0
Baierbrunn,126,0,0
Brunnthal,186,1,1
Feldkirchen,256,0,0
Garching,858,1,1
Gräfelfing,567,0,0
Grasbrunn,218,0,0
Grünwald,511,0,0
Haar,1479,0,0
Hohenbrunn,258,0,0
Höhenkirchen-Siegertsbrunn,426,1,1
Ismaning,692,0,0
Kirchheim,441,1,1
Neubiberg,573,1,1
Neuried,333,0,0
Oberhaching,647,1,1
Oberschleißheim,568,1,1
Ottobrunn,1049,1,1
Planegg,454,0,0
Pullach,493,0,0
Putzbrunn,295,2,2
Sauerlach,259,0,0
Schäftlarn,200,0,0
Straßlach-Dingharting,110,0,0
Taufkirchen,909,3,3
Unterföhring,503,1,1
Unterhaching,1015,1,1
Unterschleißheim,1453,1,1
