Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,610,11,11
Aying,308,6,6
Baierbrunn,154,2,2
Brunnthal,250,5,5
Feldkirchen,397,6,6
Garching,1150,6,6
Gräfelfing,772,9,9
Grasbrunn,301,6,6
Grünwald,625,5,5
Haar,1843,20,20
Hohenbrunn,389,11,11
Höhenkirchen-Siegertsbrunn,552,4,4
Ismaning,887,6,6
Kirchheim,573,10,10
Neubiberg,775,3,3
Neuried,437,10,10
Oberhaching,782,9,9
Oberschleißheim,770,12,12
Ottobrunn,1452,12,12
Planegg,592,10,10
Pullach,599,8,8
Putzbrunn,378,10,10
Sauerlach,413,15,15
Schäftlarn,271,0,0
Straßlach-Dingharting,161,7,7
Taufkirchen,1184,4,4
Unterföhring,596,6,6
Unterhaching,1318,13,13
Unterschleißheim,1902,30,30
