Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,585,3,3
Aying,296,11,11
Baierbrunn,150,0,0
Brunnthal,231,3,3
Feldkirchen,372,5,5
Garching,1132,3,3
Gräfelfing,729,4,4
Grasbrunn,280,3,3
Grünwald,601,4,4
Haar,1784,1,1
Hohenbrunn,356,3,3
Höhenkirchen-Siegertsbrunn,520,0,0
Ismaning,858,4,4
Kirchheim,552,6,6
Neubiberg,745,5,5
Neuried,418,6,6
Oberhaching,754,6,6
Oberschleißheim,737,2,2
Ottobrunn,1404,11,11
Planegg,566,5,5
Pullach,570,2,2
Putzbrunn,355,0,0
Sauerlach,370,9,9
Schäftlarn,259,3,3
Straßlach-Dingharting,143,1,1
Taufkirchen,1156,10,10
Unterföhring,584,2,2
Unterhaching,1266,6,6
Unterschleißheim,1823,8,8
