Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,540,2,2
Aying,240,1,1
Baierbrunn,139,1,1
Brunnthal,205,0,0
Feldkirchen,323,0,0
Garching,1030,2,2
Gräfelfing,651,0,0
Grasbrunn,250,0,0
Grünwald,554,1,1
Haar,1687,5,5
Hohenbrunn,302,0,0
Höhenkirchen-Siegertsbrunn,479,0,0
Ismaning,778,0,0
Kirchheim,501,1,1
Neubiberg,653,2,2
Neuried,374,0,0
Oberhaching,708,2,2
Oberschleißheim,654,3,3
Ottobrunn,1268,1,1
Planegg,509,2,2
Pullach,532,0,0
Putzbrunn,335,0,0
Sauerlach,310,0,0
Schäftlarn,217,0,0
Straßlach-Dingharting,115,0,0
Taufkirchen,1045,2,2
Unterföhring,550,0,0
Unterhaching,1130,0,0
Unterschleißheim,1675,0,0
