Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,582,5,5
Aying,285,1,1
Baierbrunn,150,0,0
Brunnthal,228,4,4
Feldkirchen,367,4,4
Garching,1129,11,11
Gräfelfing,725,7,7
Grasbrunn,277,2,2
Grünwald,597,1,1
Haar,1783,10,10
Hohenbrunn,353,6,6
Höhenkirchen-Siegertsbrunn,520,1,1
Ismaning,854,8,8
Kirchheim,546,2,2
Neubiberg,740,10,10
Neuried,413,2,2
Oberhaching,748,3,3
Oberschleißheim,735,4,4
Ottobrunn,1393,16,16
Planegg,561,4,4
Pullach,569,6,6
Putzbrunn,355,1,1
Sauerlach,361,11,11
Schäftlarn,256,2,2
Straßlach-Dingharting,142,5,5
Taufkirchen,1146,9,9
Unterföhring,582,2,2
Unterhaching,1260,9,9
Unterschleißheim,1815,19,19
