Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,455,1,1
Aying,196,0,0
Baierbrunn,126,0,0
Brunnthal,184,0,0
Feldkirchen,255,1,1
Garching,857,0,0
Gräfelfing,565,0,0
Grasbrunn,217,0,0
Grünwald,510,0,0
Haar,1475,0,0
Hohenbrunn,257,0,0
Höhenkirchen-Siegertsbrunn,422,0,0
Ismaning,692,0,0
Kirchheim,440,0,0
Neubiberg,569,0,0
Neuried,333,0,0
Oberhaching,646,0,0
Oberschleißheim,565,0,0
Ottobrunn,1048,2,2
Planegg,454,0,0
Pullach,492,0,0
Putzbrunn,293,0,0
Sauerlach,260,4,4
Schäftlarn,200,0,0
Straßlach-Dingharting,110,0,0
Taufkirchen,905,0,0
Unterföhring,502,1,1
Unterhaching,1012,0,0
Unterschleißheim,1452,0,0
