Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,463,1,1
Aying,198,0,0
Baierbrunn,126,0,0
Brunnthal,190,0,0
Feldkirchen,259,1,1
Garching,879,3,3
Gräfelfing,570,0,0
Grasbrunn,218,0,0
Grünwald,514,0,0
Haar,1492,1,1
Hohenbrunn,260,1,1
Höhenkirchen-Siegertsbrunn,430,1,1
Ismaning,698,0,0
Kirchheim,445,0,0
Neubiberg,576,0,0
Neuried,335,0,0
Oberhaching,653,1,1
Oberschleißheim,576,0,0
Ottobrunn,1063,1,1
Planegg,457,0,0
Pullach,501,1,1
Putzbrunn,299,0,0
Sauerlach,264,0,0
Schäftlarn,201,0,0
Straßlach-Dingharting,112,0,0
Taufkirchen,925,1,1
Unterföhring,511,2,2
Unterhaching,1022,0,0
Unterschleißheim,1468,3,3
