Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,454,1,1
Aying,196,0,0
Baierbrunn,126,0,0
Brunnthal,184,0,0
Feldkirchen,254,0,0
Garching,857,0,0
Gräfelfing,565,1,1
Grasbrunn,217,1,1
Grünwald,510,0,0
Haar,1475,0,0
Hohenbrunn,257,0,0
Höhenkirchen-Siegertsbrunn,422,1,1
Ismaning,692,1,1
Kirchheim,440,0,0
Neubiberg,569,1,1
Neuried,333,0,0
Oberhaching,646,0,0
Oberschleißheim,565,1,1
Ottobrunn,1046,0,0
Planegg,454,1,1
Pullach,492,0,0
Putzbrunn,293,0,0
Sauerlach,256,0,0
Schäftlarn,200,0,0
Straßlach-Dingharting,110,0,0
Taufkirchen,905,0,0
Unterföhring,501,1,1
Unterhaching,1012,1,1
Unterschleißheim,1452,0,0
