Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,464,1,1
Aying,198,0,0
Baierbrunn,126,0,0
Brunnthal,190,0,0
Feldkirchen,264,5,5
Garching,884,5,5
Gräfelfing,570,0,0
Grasbrunn,218,0,0
Grünwald,514,0,0
Haar,1503,11,11
Hohenbrunn,261,1,1
Höhenkirchen-Siegertsbrunn,432,3,3
Ismaning,703,5,5
Kirchheim,445,0,0
Neubiberg,578,2,2
Neuried,336,1,1
Oberhaching,653,0,0
Oberschleißheim,582,6,6
Ottobrunn,1070,7,7
Planegg,459,2,2
Pullach,503,2,2
Putzbrunn,299,0,0
Sauerlach,264,0,0
Schäftlarn,201,0,0
Straßlach-Dingharting,112,0,0
Taufkirchen,930,5,5
Unterföhring,516,5,5
Unterhaching,1030,8,8
Unterschleißheim,1476,8,8
