Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,451,0,0
Aying,195,0,0
Baierbrunn,125,0,0
Brunnthal,182,0,0
Feldkirchen,253,0,0
Garching,849,1,1
Gräfelfing,558,1,1
Grasbrunn,216,0,0
Grünwald,509,0,0
Haar,1473,0,0
Hohenbrunn,259,0,0
Höhenkirchen-Siegertsbrunn,417,0,0
Ismaning,677,1,1
Kirchheim,440,0,0
Neubiberg,559,0,0
Neuried,330,0,0
Oberhaching,640,0,0
Oberschleißheim,558,1,1
Ottobrunn,1042,0,0
Planegg,450,0,0
Pullach,490,0,0
Putzbrunn,293,0,0
Sauerlach,253,0,0
Schäftlarn,197,0,0
Straßlach-Dingharting,109,0,0
Taufkirchen,899,0,0
Unterföhring,497,0,0
Unterhaching,999,1,1
Unterschleißheim,1443,2,2
