Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,459,3,3
Aying,198,2,2
Baierbrunn,126,0,0
Brunnthal,187,0,0
Feldkirchen,257,1,1
Garching,865,5,5
Gräfelfing,568,0,0
Grasbrunn,218,0,0
Grünwald,514,3,3
Haar,1488,6,6
Hohenbrunn,259,0,0
Höhenkirchen-Siegertsbrunn,429,3,3
Ismaning,695,2,2
Kirchheim,444,2,2
Neubiberg,575,2,2
Neuried,334,1,1
Oberhaching,647,0,0
Oberschleißheim,572,4,4
Ottobrunn,1056,6,6
Planegg,455,0,0
Pullach,497,2,2
Putzbrunn,296,1,1
Sauerlach,262,3,3
Schäftlarn,200,0,0
Straßlach-Dingharting,112,2,2
Taufkirchen,920,9,9
Unterföhring,507,3,3
Unterhaching,1017,1,1
Unterschleißheim,1460,3,3
