Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,467,0,0
Aying,199,1,1
Baierbrunn,126,0,0
Brunnthal,190,0,0
Feldkirchen,270,5,5
Garching,892,2,2
Gräfelfing,576,3,3
Grasbrunn,218,0,0
Grünwald,516,0,0
Haar,1522,5,5
Hohenbrunn,263,1,1
Höhenkirchen-Siegertsbrunn,432,0,0
Ismaning,705,1,1
Kirchheim,450,1,1
Neubiberg,585,1,1
Neuried,339,1,1
Oberhaching,658,3,3
Oberschleißheim,583,0,0
Ottobrunn,1082,6,6
Planegg,463,0,0
Pullach,505,1,1
Putzbrunn,299,0,0
Sauerlach,270,4,4
Schäftlarn,202,1,1
Straßlach-Dingharting,114,0,0
Taufkirchen,945,1,1
Unterföhring,520,1,1
Unterhaching,1038,4,4
Unterschleißheim,1484,2,2
