Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,514,6,6
Aying,222,2,2
Baierbrunn,135,4,4
Brunnthal,202,3,3
Feldkirchen,316,7,7
Garching,999,5,5
Gräfelfing,622,8,8
Grasbrunn,238,4,4
Grünwald,544,1,1
Haar,1640,13,13
Hohenbrunn,285,1,1
Höhenkirchen-Siegertsbrunn,461,4,4
Ismaning,764,2,2
Kirchheim,486,3,3
Neubiberg,621,7,7
Neuried,361,4,4
Oberhaching,701,4,4
Oberschleißheim,631,1,1
Ottobrunn,1227,23,23
Planegg,494,0,0
Pullach,523,0,0
Putzbrunn,318,2,2
Sauerlach,294,1,1
Schäftlarn,213,1,1
Straßlach-Dingharting,115,0,0
Taufkirchen,1033,0,0
Unterföhring,547,1,1
Unterhaching,1106,3,3
Unterschleißheim,1646,9,9
