Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,820,5,5
Aying,414,1,1
Baierbrunn,229,3,3
Brunnthal,370,13,13
Feldkirchen,546,2,2
Garching,1487,11,11
Gräfelfing,1044,11,11
Grasbrunn,388,0,0
Grünwald,853,4,4
Haar,2216,7,7
Hohenbrunn,524,1,1
Höhenkirchen-Siegertsbrunn,845,3,3
Ismaning,1236,10,10
Kirchheim,820,7,7
Neubiberg,998,6,6
Neuried,573,8,8
Oberhaching,1005,8,8
Oberschleißheim,951,10,10
Ottobrunn,1822,11,11
Planegg,759,5,5
Pullach,712,1,1
Putzbrunn,513,0,0
Sauerlach,608,2,2
Schäftlarn,396,16,16
Straßlach-Dingharting,217,2,2
Taufkirchen,1514,12,12
Unterföhring,725,2,2
Unterhaching,1770,10,10
Unterschleißheim,2441,14,14
