Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,477,3,3
Aying,202,1,1
Baierbrunn,129,2,2
Brunnthal,194,1,1
Feldkirchen,282,3,3
Garching,935,4,4
Gräfelfing,588,6,6
Grasbrunn,221,0,0
Grünwald,523,1,1
Haar,1564,11,11
Hohenbrunn,265,3,3
Höhenkirchen-Siegertsbrunn,441,1,1
Ismaning,716,3,3
Kirchheim,458,1,1
Neubiberg,594,4,4
Neuried,342,1,1
Oberhaching,675,6,6
Oberschleißheim,605,4,4
Ottobrunn,1112,5,5
Planegg,475,4,4
Pullach,509,1,1
Putzbrunn,304,5,5
Sauerlach,271,1,1
Schäftlarn,206,0,0
Straßlach-Dingharting,114,0,0
Taufkirchen,978,9,9
Unterföhring,527,2,2
Unterhaching,1059,4,4
Unterschleißheim,1557,25,25
