Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,494,6,6
Aying,207,0,0
Baierbrunn,129,0,0
Brunnthal,196,0,0
Feldkirchen,299,2,2
Garching,985,9,9
Gräfelfing,601,2,2
Grasbrunn,234,2,2
Grünwald,538,0,0
Haar,1616,15,15
Hohenbrunn,273,3,3
Höhenkirchen-Siegertsbrunn,449,0,0
Ismaning,749,7,7
Kirchheim,473,6,6
Neubiberg,609,4,4
Neuried,352,0,0
Oberhaching,689,2,2
Oberschleißheim,624,1,1
Ottobrunn,1179,22,22
Planegg,490,2,2
Pullach,520,1,1
Putzbrunn,314,6,6
Sauerlach,286,5,5
Schäftlarn,211,2,2
Straßlach-Dingharting,115,0,0
Taufkirchen,1022,7,7
Unterföhring,544,3,3
Unterhaching,1093,7,7
Unterschleißheim,1623,9,9
