Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,482,2,2
Aying,202,0,0
Baierbrunn,129,0,0
Brunnthal,196,0,0
Feldkirchen,291,4,4
Garching,962,13,13
Gräfelfing,594,2,2
Grasbrunn,228,3,3
Grünwald,533,5,5
Haar,1588,8,8
Hohenbrunn,266,0,0
Höhenkirchen-Siegertsbrunn,447,4,4
Ismaning,731,3,3
Kirchheim,461,2,2
Neubiberg,600,5,5
Neuried,345,0,0
Oberhaching,684,4,4
Oberschleißheim,617,9,9
Ottobrunn,1137,11,11
Planegg,483,2,2
Pullach,511,2,2
Putzbrunn,305,1,1
Sauerlach,276,3,3
Schäftlarn,209,0,0
Straßlach-Dingharting,115,1,1
Taufkirchen,1002,9,9
Unterföhring,534,4,4
Unterhaching,1077,7,7
Unterschleißheim,1594,8,8
