Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,495,1,1
Aying,209,2,2
Baierbrunn,130,1,1
Brunnthal,197,1,1
Feldkirchen,303,4,4
Garching,988,3,3
Gräfelfing,602,1,1
Grasbrunn,235,1,1
Grünwald,540,2,2
Haar,1620,5,5
Hohenbrunn,276,3,3
Höhenkirchen-Siegertsbrunn,451,2,2
Ismaning,753,4,4
Kirchheim,476,2,2
Neubiberg,610,2,2
Neuried,356,4,4
Oberhaching,689,1,1
Oberschleißheim,628,4,4
Ottobrunn,1192,13,13
Planegg,490,0,0
Pullach,522,2,2
Putzbrunn,316,2,2
Sauerlach,287,1,1
Schäftlarn,211,0,0
Straßlach-Dingharting,115,0,0
Taufkirchen,1029,7,7
Unterföhring,545,1,1
Unterhaching,1098,4,4
Unterschleißheim,1625,3,3
