Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,558,0,0
Aying,260,5,5
Baierbrunn,144,4,4
Brunnthal,215,0,0
Feldkirchen,340,3,3
Garching,1058,1,1
Gräfelfing,668,1,1
Grasbrunn,256,3,3
Grünwald,571,3,3
Haar,1730,13,13
Hohenbrunn,318,5,5
Höhenkirchen-Siegertsbrunn,497,0,0
Ismaning,804,4,4
Kirchheim,508,2,2
Neubiberg,680,3,3
Neuried,391,3,3
Oberhaching,720,3,3
Oberschleißheim,684,5,5
Ottobrunn,1303,8,8
Planegg,527,3,3
Pullach,544,1,1
Putzbrunn,339,0,0
Sauerlach,319,0,0
Schäftlarn,223,4,4
Straßlach-Dingharting,123,0,0
Taufkirchen,1073,7,7
Unterföhring,563,2,2
Unterhaching,1154,4,4
Unterschleißheim,1712,3,3
