Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,549,1,1
Aying,245,1,1
Baierbrunn,140,0,0
Brunnthal,209,2,2
Feldkirchen,329,2,2
Garching,1042,6,6
Gräfelfing,658,2,2
Grasbrunn,251,0,0
Grünwald,557,2,2
Haar,1698,6,6
Hohenbrunn,306,1,1
Höhenkirchen-Siegertsbrunn,481,0,0
Ismaning,789,6,6
Kirchheim,501,0,0
Neubiberg,667,6,6
Neuried,381,2,2
Oberhaching,712,3,3
Oberschleißheim,661,1,1
Ottobrunn,1274,1,1
Planegg,513,0,0
Pullach,538,4,4
Putzbrunn,337,0,0
Sauerlach,313,2,2
Schäftlarn,218,0,0
Straßlach-Dingharting,118,1,1
Taufkirchen,1054,6,6
Unterföhring,553,1,1
Unterhaching,1131,1,1
Unterschleißheim,1688,5,5
