Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,462,3,3
Aying,198,0,0
Baierbrunn,126,0,0
Brunnthal,190,1,1
Feldkirchen,258,1,1
Garching,877,7,7
Gräfelfing,570,0,0
Grasbrunn,218,0,0
Grünwald,514,0,0
Haar,1491,3,3
Hohenbrunn,259,0,0
Höhenkirchen-Siegertsbrunn,429,0,0
Ismaning,698,2,2
Kirchheim,445,0,0
Neubiberg,577,0,0
Neuried,335,1,1
Oberhaching,652,2,2
Oberschleißheim,576,1,1
Ottobrunn,1062,0,0
Planegg,457,0,0
Pullach,500,0,0
Putzbrunn,299,2,2
Sauerlach,264,0,0
Schäftlarn,201,1,1
Straßlach-Dingharting,112,0,0
Taufkirchen,925,1,1
Unterföhring,509,0,0
Unterhaching,1023,3,3
Unterschleißheim,1465,0,0
