Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,501,6,6
Aying,212,3,3
Baierbrunn,130,0,0
Brunnthal,198,1,1
Feldkirchen,304,1,1
Garching,991,3,3
Gräfelfing,604,2,2
Grasbrunn,235,0,0
Grünwald,542,2,2
Haar,1623,3,3
Hohenbrunn,278,0,0
Höhenkirchen-Siegertsbrunn,453,2,2
Ismaning,754,1,1
Kirchheim,478,2,2
Neubiberg,610,1,1
Neuried,356,0,0
Oberhaching,693,3,3
Oberschleißheim,628,0,0
Ottobrunn,1203,11,11
Planegg,491,2,2
Pullach,522,0,0
Putzbrunn,316,1,1
Sauerlach,289,2,2
Schäftlarn,211,0,0
Straßlach-Dingharting,115,0,0
Taufkirchen,1029,0,0
Unterföhring,545,0,0
Unterhaching,1098,1,1
Unterschleißheim,1627,2,2
