Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,588,3,3
Aying,299,3,3
Baierbrunn,151,1,1
Brunnthal,236,5,5
Feldkirchen,377,5,5
Garching,1137,5,5
Gräfelfing,740,11,11
Grasbrunn,283,3,3
Grünwald,610,9,9
Haar,1797,13,13
Hohenbrunn,362,6,6
Höhenkirchen-Siegertsbrunn,528,8,8
Ismaning,867,9,9
Kirchheim,558,6,6
Neubiberg,755,10,10
Neuried,422,4,4
Oberhaching,758,4,4
Oberschleißheim,744,7,7
Ottobrunn,1409,5,5
Planegg,572,6,6
Pullach,579,9,9
Putzbrunn,359,4,4
Sauerlach,385,15,15
Schäftlarn,263,4,4
Straßlach-Dingharting,148,5,5
Taufkirchen,1165,9,9
Unterföhring,586,2,2
Unterhaching,1281,15,15
Unterschleißheim,1839,16,16
