Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,545,5,5
Aying,241,1,1
Baierbrunn,139,0,0
Brunnthal,205,0,0
Feldkirchen,323,0,0
Garching,1033,4,4
Gräfelfing,652,1,1
Grasbrunn,250,0,0
Grünwald,555,1,1
Haar,1692,5,5
Hohenbrunn,302,0,0
Höhenkirchen-Siegertsbrunn,481,2,2
Ismaning,780,2,2
Kirchheim,501,0,0
Neubiberg,659,7,7
Neuried,378,4,4
Oberhaching,707,0,0
Oberschleißheim,655,1,1
Ottobrunn,1272,4,4
Planegg,510,1,1
Pullach,532,0,0
Putzbrunn,337,2,2
Sauerlach,311,1,1
Schäftlarn,217,0,0
Straßlach-Dingharting,115,0,0
Taufkirchen,1047,2,2
Unterföhring,552,2,2
Unterhaching,1130,0,0
Unterschleißheim,1679,4,4
