Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,456,0,0
Aying,196,0,0
Baierbrunn,126,0,0
Brunnthal,187,1,1
Feldkirchen,256,0,0
Garching,859,1,1
Gräfelfing,567,0,0
Grasbrunn,218,0,0
Grünwald,511,0,0
Haar,1481,2,2
Hohenbrunn,258,0,0
Höhenkirchen-Siegertsbrunn,426,0,0
Ismaning,692,0,0
Kirchheim,442,1,1
Neubiberg,573,0,0
Neuried,333,0,0
Oberhaching,647,0,0
Oberschleißheim,568,0,0
Ottobrunn,1049,0,0
Planegg,455,1,1
Pullach,496,3,3
Putzbrunn,295,0,0
Sauerlach,259,0,0
Schäftlarn,200,0,0
Straßlach-Dingharting,110,0,0
Taufkirchen,910,1,1
Unterföhring,501,0,0
Unterhaching,1016,1,1
Unterschleißheim,1454,1,1
