Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,855,2,2
Aying,442,4,4
Baierbrunn,250,0,0
Brunnthal,394,3,3
Feldkirchen,572,3,3
Garching,1581,6,6
Gräfelfing,1097,9,9
Grasbrunn,405,4,4
Grünwald,898,0,0
Haar,2296,4,4
Hohenbrunn,557,1,1
Höhenkirchen-Siegertsbrunn,894,0,0
Ismaning,1313,6,6
Kirchheim,859,2,2
Neubiberg,1038,3,3
Neuried,603,7,7
Oberhaching,1060,4,4
Oberschleißheim,1023,8,8
Ottobrunn,1897,6,6
Planegg,802,3,3
Pullach,737,1,1
Putzbrunn,523,0,0
Sauerlach,628,1,1
Schäftlarn,434,3,3
Straßlach-Dingharting,227,0,0
Taufkirchen,1582,3,3
Unterföhring,771,4,4
Unterhaching,1849,5,5
Unterschleißheim,2567,0,0
