Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,560,1,1
Aying,264,2,2
Baierbrunn,144,0,0
Brunnthal,217,0,0
Feldkirchen,344,3,3
Garching,1066,3,3
Gräfelfing,675,6,6
Grasbrunn,259,2,2
Grünwald,577,2,2
Haar,1742,10,10
Hohenbrunn,320,2,2
Höhenkirchen-Siegertsbrunn,504,6,6
Ismaning,810,5,5
Kirchheim,513,3,3
Neubiberg,692,7,7
Neuried,393,0,0
Oberhaching,727,4,4
Oberschleißheim,693,4,4
Ottobrunn,1309,4,4
Planegg,528,0,0
Pullach,546,1,1
Putzbrunn,341,0,0
Sauerlach,322,2,2
Schäftlarn,226,3,3
Straßlach-Dingharting,129,1,1
Taufkirchen,1086,8,8
Unterföhring,566,2,2
Unterhaching,1171,9,9
Unterschleißheim,1722,6,6
