Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,664,7,7
Aying,338,3,3
Baierbrunn,175,8,8
Brunnthal,293,14,14
Feldkirchen,440,13,13
Garching,1243,14,14
Gräfelfing,847,19,19
Grasbrunn,341,6,6
Grünwald,671,9,9
Haar,1950,29,29
Hohenbrunn,424,9,9
Höhenkirchen-Siegertsbrunn,622,22,22
Ismaning,972,18,18
Kirchheim,640,11,11
Neubiberg,829,10,10
Neuried,476,9,9
Oberhaching,845,13,13
Oberschleißheim,829,10,10
Ottobrunn,1554,23,23
Planegg,643,12,12
Pullach,623,6,6
Putzbrunn,412,8,8
Sauerlach,487,16,16
Schäftlarn,305,5,5
Straßlach-Dingharting,178,3,3
Taufkirchen,1260,13,13
Unterföhring,635,7,7
Unterhaching,1485,31,31
Unterschleißheim,2033,22,22
