Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,447,0
Aying,194,1
Baierbrunn,124,0
Brunnthal,180,2
Feldkirchen,250,0
Garching,842,0
Gräfelfing,548,0
Grasbrunn,209,0
Grünwald,502,0
Haar,1452,0
Hohenbrunn,254,1
Höhenkirchen-Siegertsbrunn,411,1
Ismaning,669,1
Kirchheim,434,1
Neubiberg,553,0
Neuried,325,1
Oberhaching,624,0
Oberschleißheim,550,0
Ottobrunn,1038,0
Planegg,444,0
Pullach,480,0
Putzbrunn,292,0
Sauerlach,249,0
Schäftlarn,193,0
Straßlach-Dingharting,105,0
Taufkirchen,888,0
Unterföhring,494,0
Unterhaching,990,1
Unterschleißheim,1403,3
