Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,459,1,1
Aying,198,0,0
Baierbrunn,126,0,0
Brunnthal,188,1,1
Feldkirchen,257,0,0
Garching,865,0,0
Gräfelfing,571,3,3
Grasbrunn,218,0,0
Grünwald,514,0,0
Haar,1488,0,0
Hohenbrunn,259,0,0
Höhenkirchen-Siegertsbrunn,429,0,0
Ismaning,695,0,0
Kirchheim,444,0,0
Neubiberg,576,1,1
Neuried,334,0,0
Oberhaching,647,0,0
Oberschleißheim,574,2,2
Ottobrunn,1060,4,4
Planegg,455,0,0
Pullach,498,1,1
Putzbrunn,296,0,0
Sauerlach,263,1,1
Schäftlarn,200,0,0
Straßlach-Dingharting,112,0,0
Taufkirchen,923,3,3
Unterföhring,508,1,1
Unterhaching,1018,1,1
Unterschleißheim,1463,3,3
