Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,636,11,11
Aying,324,5,5
Baierbrunn,162,2,2
Brunnthal,265,3,3
Feldkirchen,413,4,4
Garching,1178,9,9
Gräfelfing,806,13,13
Grasbrunn,326,7,7
Grünwald,649,6,6
Haar,1885,14,14
Hohenbrunn,404,2,2
Höhenkirchen-Siegertsbrunn,578,6,6
Ismaning,932,17,17
Kirchheim,600,13,13
Neubiberg,800,6,6
Neuried,457,13,13
Oberhaching,807,6,6
Oberschleißheim,787,11,11
Ottobrunn,1487,13,13
Planegg,610,4,4
Pullach,616,3,3
Putzbrunn,392,3,3
Sauerlach,438,10,10
Schäftlarn,290,7,7
Straßlach-Dingharting,172,5,5
Taufkirchen,1219,5,5
Unterföhring,611,3,3
Unterhaching,1391,21,21
Unterschleißheim,1950,34,34
